LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,12-18,14:08:24.355,1795,16501,D,HwActivityManagerService,"handleANRFilterFIFO,uid = 10113cmd = 1",c7d11cb0,<*> <*> <*> = <*>,"['handleANRFilterFIFO,uid', '= 10113cmd', '1']"
2,12-18,12:39:28.358,1795,1819,D,NetdConnector,"RCV unsolicited event from native daemon, event = 613 IfaceClass idle 0 504507080088197",9917cdb2,"RCV unsolicited event from native daemon, event = <*> IfaceClass idle <*> <*>","['613', '0 504507080088197']"
3,12-18,14:08:42.085,2852,2852,D,HwCustMobileSignalControllerImpl,"sub =0,strMccMnc =null,hashMccMnc =[],strPlmn =hw_customized_networkType_entry",a20cc1e2,"sub =<*>,strMccMnc =null,hashMccMnc =[],strPlmn <*>","['0', '=hw_customized_networkType_entry']"
4,12-18,15:43:35.571,1046,1125,D,audio_hw_primary,out_standby: enter: stream (0xf14f0600) usecase(1: low-latency-playback),ca48830d,out_standby: enter: stream (<*>) usecase(<*>: low-latency-playback),"['0xf14f0600', '1']"
5,12-17,20:31:58.899,2852,2852,D,HwCustMobileSignalControllerImpl,"sub =0,strMccMnc =null,hashMccMnc =[],strPlmn =hw_hspap_show_4g",a20cc1e2,"sub =<*>,strMccMnc =null,hashMccMnc =[],strPlmn <*>","['0', '=hw_hspap_show_4g']"
6,12-18,18:31:32.331,2852,2852,I,PhoneStatusBar,addNotification key=0|com.sankuai.meituan|2147483647|null|10146,7fdc600b,addNotification key=<*>|<*>|<*>|null|<*>,"['0', 'com.sankuai.meituan|2147483647', '10146']"
7,12-17,23:29:03.068,1795,3110,I,WindowManager,Destroying surface Surface(name=PopupWindow:5280054) called by com.android.server.wm.WindowStateAnimator.destroySurface:2056 com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:907 com.android.server.wm.WindowState.removeLocked:1527 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2723 com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2688 com.android.server.wm.WindowManagerService.removeWindowLocked:2677 com.android.server.wm.WindowManagerService.removeWindowLocked:2546 com.android.server.wm.WindowManagerService.removeWindow:2541,1a40f00f,Destroying surface <*> called by <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*>:<*> <*> <*>:<*>,"['Surface(name=PopupWindow:5280054)', 'com.android.server.wm.WindowStateAnimator.destroySurface:2056', 'com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:907', 'com.android.server.wm.WindowState.removeLocked:1527', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2723', 'com.android.server.wm.WindowManagerService.removeWindowInnerLocked:2688', 'com.android.server.wm.WindowManagerService.removeWindowLocked:2677', 'com.android.server.wm.WindowManagerService.removeWindowLocked', '2546 com.android.server.wm.WindowManagerService.removeWindow:2541']"
8,12-18,15:35:10.881,1795,2665,D,NetdConnector,RCV <- {200 12522 Bandwidth command succeeeded},887fe452,RCV <- {<*> <*> <*> <*> <*>,"['<-', '{200', '12522 Bandwidth command succeeeded}']"
9,12-18,15:32:58.449,1795,3238,I,ActivityManager_activity,"insertTaskAtTop, setTaskToReturnTo: fromHome=true,lastStackTop=TaskRecord{37babfb #297 A=com.huawei.android.launcher U=0 StackId=0 sz=1}, isHomeStack=false, topTask=TaskRecord{229cf9d #389 A=com.android.browser U=0 StackId=1 sz=1}, task=TaskRecord{e50798d #398 A=com.android.settings U=0 StackId=1 sz=0}",d0c352c9,"insertTaskAtTop, setTaskToReturnTo: <*> #<*> A=<*> U=<*> StackId=<*> sz=<*>}, <*> topTask=TaskRecord{<*> #<*> A=<*> U=<*> StackId=<*> sz=<*>}, task=TaskRecord{<*> #<*> A=<*> U=<*> StackId=<*> sz=<*>}","['fromHome=true,lastStackTop=TaskRecord{37babfb', '297', 'com.huawei.android.launcher', '0', '0', '1', 'isHomeStack=false,', '229cf9d', '389', 'com.android.browser', '0', '1', '1', 'e50798d', '398', 'com.android.settings', '0', '1', '0']"
10,12-17,23:11:31.007,633,9932,E,SDK     ,"<2016-12-17 23:11:31> [ERR] SDK: UE-SeC 2016-12-17 23:11:31:6 Level[ERR] magic[2344581408 200]:libcOpenFile => fopen[2]: path</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/UppmQLksydF4jiPx7vvVu9V8mxcQz4u8FMyhVWeaf4oEyot2QtrRPxu0vWwa4WlizavfVwhJviOq7Vb4qM8FmQ==>, mode<rb>",6b2c294d,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*>,"['', '<2016-12-17 23', '11:31', '[ERR]', '', '2016-12-17 23', '11', '31:6 Level[ERR]', '2344581408', '200]:libcOpenFile', '=> fopen[2]: path</mnt/sdcard/sandbox/AnyOfficeSDK/sdk/UppmQLksydF4jiPx7vvVu9V8mxcQz4u8FMyhVWeaf4oEyot2QtrRPxu0vWwa4WlizavfVwhJviOq7Vb4qM8FmQ==>, mode<rb>']"
11,12-17,23:13:53.321,3858,4126,I,amsnl   ,m1: false,8e829e30,<*> false,['m1:']
12,12-17,20:34:54.152,1795,17832,I,HwActivityManagerService,Split enqueueing broadcast [callerApp]:ProcessRecord{24cdca7 3218:com.android.phone/1001},b1ffc7b2,Split enqueueing broadcast [callerApp]:ProcessRecord{<*> <*>,['24cdca7 3218:com.android.phone/1001}']
13,12-18,14:56:31.059,1795,1807,W,NetworkManagement,setDataSaverMode(): already false,3c2900bf,setDataSaverMode(): already false,[]
14,12-18,17:37:28.071,4492,4492,I,2DSDR   ,"APS: 2DSDR: AbsListView.FlingRunnable.run(), SDR ratio = 1.0, layer height = 1920, scroll view height = 1440",db496d56,"APS: 2DSDR: <*>(), SDR ratio = <*>.<*>, layer height = <*>, scroll view height = <*>","['AbsListView.FlingRunnable.run', '1.0', '1920', '1440']"
15,12-17,21:25:54.856,606,2379,E,libteec ,receive data len = 128,c7d11cb0,<*> <*> <*> = <*>,"['receive', 'data len', '128']"
16,12-18,08:13:19.081,1046,1125,D,msm8916_platform,platform_can_split_snd_device: snd_device(2) num devices(0) new_snd_devices(0),61f81244,platform_can_split_snd_device: snd_device(<*>) num devices(<*>) new_snd_devices(<*>),"['2', '0', '0']"
17,12-18,14:12:54.734,5157,5157,I,chromium,"[INFO:CONSOLE(1)] ""Uncaught SyntaxError: Unexpected token var"", source:  (1)",db4d0254,"[INFO:CONSOLE(<*>)] ""Uncaught SyntaxError: Unexpected token var"", source:  (<*>)","['1', '1']"
18,12-18,15:33:28.902,10334,10334,D,wpa_supplicant,WPS: attr type=0x1021 len=4,5c5162a9,WPS: attr type=<*> len=<*>,"['0x1021', '4']"
19,12-17,19:32:06.419,5215,5215,D,wpa_supplicant,IEs - hexdump(len=194): 00 0f 48 75 61 77 65 69 2d 45 6d 70 6c 6f 79 65 65 01 08 82 84 0b 16 0c 12 18 24 03 01 0d 05 04 ...,2230c699,IEs - hexdump(len=<*>): <*> 0f <*> <*> <*> <*> <*> <*> 2d <*> 6d <*> 6c 6f <*> <*> <*> <*> <*> <*> <*> 0b <*> 0c <*> <*> <*> <*> <*> 0d <*> <*> ...,"['194', '00', '48', '75', '61 77 65 69', '45', '70', '79', '65', '65', '01 08 82 84', '16', '12', '18', '24 03 01', '05 04']"
20,12-18,15:33:30.271,10334,10334,D,wpa_supplicant,nl80211: Scan results indicate BSS status with bc:d1:77:bb:c9:e2 as associated,7075b70a,nl80211: Scan results indicate BSS status with bc:d1:<*>:bb:c9:e2 as associated,['77']
21,12-18,07:57:02.638,835,2385,E,libteec ,begin,8d589afa,begin,[]
22,12-18,07:38:26.870,3858,4126,I,amsnl   ,"t:false, fl: false, p: 2147483647000, ce: true, we: false",bc2fb95a,"t:false, fl: false, p: <*>, ce: true, we: <*>","['2147483647000', 'false']"
23,12-18,08:23:00.540,1795,2750,D,HW_DISPLAY_EFFECT,"presently, hw_update_color_temp_for_rg_led interface not achieved.",d4b8d889,"presently, hw_update_color_temp_for_rg_led interface not achieved.",[]
24,12-18,07:40:51.497,2852,2852,D,HwCustMobileSignalControllerImpl,isCurrentBySim()=false,2701f85c,isCurrentBySim()=false,[]
25,12-18,17:31:36.288,2852,2852,D,StepCounterView,onStepCounterChange stepsNum:13758,9b50b930,onStepCounterChange stepsNum:<*>,['13758']
26,12-17,21:37:45.874,3879,4071,I,HwLauncher,NewEspaceMessageContentObserver  getNewEspaceMessageCount: 5,727a2ea9,NewEspaceMessageContentObserver  getNewEspaceMessageCount: <*>,['5']
27,12-17,19:55:47.083,32607,32622,D,AndroidCommon,[SdcardManager.isMounted]Mounted:/storage/emulated/0:true,14def3f5,[SdcardManager.isMounted]Mounted:<*>:true,['/storage/emulated/0']
28,12-17,20:56:03.410,2852,2852,I,HwSignalClusterView,getOrInflateState subId:0,cf07345e,<*> subId:<*>,"['getOrInflateState', '0']"
29,12-17,22:54:18.747,2852,3556,I,NetworkController.MobileSignalController(0),"onSignalStrengthsChanged signalStrength=SignalStrength: -1 0 -1 255 -1 255 -1 255 255 18 -104 -9 114 2147483647 2147483647 false gw|lte level=4 isSuspend=false levelOld=4,mSignalStrength level=4",62c38581,"onSignalStrengthsChanged signalStrength=SignalStrength: -<*> <*> -<*> <*> -<*> <*> -<*> <*> <*> <*> -<*> -<*> <*> <*> <*> false gw|lte level=<*> isSuspend=false levelOld=<*>,mSignalStrength level=<*>","['1 0', '1 255', '1 255', '1', '255 255 18', '104', '9', '114 2147483647 2147483647', '4', '4', '4']"
30,12-17,21:50:40.197,2852,2852,I,StackScrollAlgorithm,updateClipping isOverlap:false,5210da50,updateClipping <*>,['isOverlap:false']
31,12-18,17:41:35.751,1795,17590,D,HwLocalLocationProvider,start query Loc Form DB,df68ec95,start query Loc Form DB,[]
32,12-18,00:05:32.124,802,802,E,Thermal-daemon,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is 24",76e26663,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is <*>",['24']
33,12-17,21:20:35.390,24802,24802,I,nativeProcess,iqiyi message: ==== do something  executeCmd isProcessExist true =====,42a0eda7,iqiyi message: ==== do something  executeCmd isProcessExist true =====,[]
34,12-18,15:33:19.433,10334,10334,D,wpa_supplicant,CTRL-DEBUG: ctrl_sock-sendmsg: sock=16 sndbuf=229376 outq=0 send_len=33,0e6678d6,CTRL-DEBUG: <*> sock=<*> sndbuf=<*> outq=<*> send_len=<*>,"['ctrl_sock-sendmsg:', '16', '229376', '0', '33']"
35,12-17,22:26:50.662,1795,2750,D,HW_DISPLAY_EFFECT,"presently, hw_update_color_temp_for_rg_led interface not achieved.",d4b8d889,"presently, hw_update_color_temp_for_rg_led interface not achieved.",[]
36,12-17,23:26:27.017,3879,4071,D,HwLauncher,Launcher.LauncherProvider  launcher-restore query - uri:content://com.huawei.android.launcher.settings/badge,d8e32dcb,Launcher.LauncherProvider launcher-restore <*> - <*>,[]
37,12-18,00:13:25.401,1795,15982,W,MediaProcessHandler,"remove target not exist, maybe the UI process: uid: 10144, pid: 16664",4bc2c833,"remove target not exist, maybe the UI process: uid: <*>, pid: <*>","['10144', '16664']"
38,12-18,08:24:39.124,802,802,E,Thermal-daemon,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is 31",76e26663,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is <*>",['31']
39,12-18,17:30:15.675,633,15349,I,SDK     ,<2016-12-18 17:30:15> [NOTICE] SDK: UE-SeC 2016-12-18 17:30:15:667 Level[NOTICE] magic[2081044768 218]:Already set not to check CA!,c94847fb,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*>,"['', '<2016-12-18 17', '30:15', '[NOTICE]', '', '2016-12-18 17', '30', '15:667 Level[NOTICE]', '2081044768', '218]:Already', 'set', 'not to check CA!']"
40,12-17,23:15:57.260,1795,1825,I,PowerManagerService,Going to sleep due to screen timeout (uid 1000)...,05574230,Going to sleep due to <*> <*> (uid <*>)...,"['screen timeout', '1000']"
41,12-17,19:57:05.097,2852,2852,I,HwBrightnessUtils,"APS brightness=0.0,ConvertToPercentage=NaN",7ef40a35,APS <*>,"['brightness=0.0,ConvertToPercentage=NaN']"
42,12-17,20:11:04.808,2852,2852,D,DateTimeView,Change to single clock mode!,fc314fdb,Change to single clock mode!,[]
43,12-17,22:38:47.219,633,31870,I,SDK     ,<2016-12-17 22:38:47> [WARN] SDK: UE-SeC 2016-12-17 22:38:47:219 Level[WARN] magic[3362781472 684]:PubEvt_Close Getting a socket[36] from the Socket-table Failed!,b29d6ea3,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '<2016-12-17 22', '38:47', '[WARN]', '', '2016-12-17 22', '38', '47:219 Level[WARN]', '3362781472', '684]:PubEvt_Close', 'Getting', 'a', 'socket[36] from the Socket-table Failed!']"
44,12-18,07:50:42.998,633,31868,I,SDK     ,<2016-12-18 07:50:42> [NOTICE] SDK: UE-SeC 2016-12-18 7:50:42:998 Level[NOTICE] magic[3365677344 2756]:WriteSdkGroupItem: hash has same item[w00290667],6b2c294d,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*>,"['', '<2016-12-18 07', '50:42', '[NOTICE]', '', '2016-12-18 7', '50', '42:998 Level[NOTICE]', '3365677344', '2756]:WriteSdkGroupItem:', 'hash has same item[w00290667]']"
45,12-18,18:57:21.343,1795,3237,D,PowerManagerService,"ready=true,policy=0,wakefulness=0,wksummary=0x1,uasummary=0x0,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=33,auto=-1,adj=0.0userId=0",2bd0bdb0,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>","['0', '0', '0x1', '0x0', '33', '1', '0', '0']"
46,12-17,23:13:39.692,1046,1125,D,audio_hw_primary,start_output_stream: exit,fdd84d99,<*> exit,['start_output_stream:']
47,12-18,09:35:15.057,828,30438,D,QC-time-services,Daemon: delta 1478169112433 genoff 1478169112433,fb195195,<*> <*> <*> <*> <*>,"['Daemon:', 'delta', '1478169112433 genoff 1478169112433']"
48,12-17,20:18:52.042,1795,2323,E,UsbDeviceManager,at android.os.FileUtils.readTextFile(FileUtils.java:267),d7497a9b,at <*>,['android.os.FileUtils.readTextFile(FileUtils.java:267)']
49,12-17,23:41:22.644,633,31870,I,SDK     ,<2016-12-17 23:41:22> [WARN] SDK: UE-SeC 2016-12-17 23:41:22:644 Level[WARN] magic[3362781472 684]:PubEvt_Close Getting a socket[123] from the Socket-table Failed!,b29d6ea3,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*> <*> <*>,"['', '<2016-12-17 23', '41:22', '[WARN]', '', '2016-12-17 23', '41', '22:644 Level[WARN]', '3362781472', '684]:PubEvt_Close', 'Getting', 'a', 'socket[123] from the Socket-table Failed!']"
50,12-17,21:03:15.592,2852,3556,I,NetworkController.MobileSignalController(0),onDataActivity: direction=0,2561f5e6,onDataActivity: direction=<*>,['0']
51,12-18,10:52:07.509,808,549,V,QCamera2HWI,"static void qcamera::QCamera2HardwareInterface::metadata_stream_cb_routine(mm_camera_super_buf_t*, qcamera::QCameraStream*, void*): iso_value:80, exp_time:0.009990, mean_y:47, cur_luma:48, target_luma:50, real_gain:1.642121, mFlashNeeded = 0",804f1aa6,"static void qcamera::QCamera2HardwareInterface::metadata_stream_cb_routine(mm_camera_super_buf_t*, qcamera::QCameraStream*, void*): iso_value:<*>, exp_time:<*>.<*>, mean_y:<*>, cur_luma:<*>, target_luma:<*>, real_gain:<*>.<*>, mFlashNeeded = <*>","['80', '0.009990', '47', '48', '50', '1.642121', '0']"
52,12-17,21:07:04.734,1795,28570,I,AwareLog,AwareUserHabit: getTopList is called,60c177ff,AwareUserHabit: <*> is called,['getTopList']
53,12-18,14:09:29.603,25067,25067,I,BetaClub,[RouteService.onStartCommand],773df60e,[RouteService.onStartCommand],[]
54,12-17,19:59:02.697,18142,18142,I,RomSurvey,[main-1]AutoCheckReceiver romSurveyFlag = false(/AutoCheckReceiver.java:51),58d16951,[main<*>]AutoCheckReceiver romSurveyFlag = false(<*>.java:<*>),"['-1', '/AutoCheckReceiver', '51']"
55,12-17,23:25:34.625,2852,2852,I,HwLockScreenReporter,report msg is :{picture: magazine-unlock-06-2.3.445-bigpicture_06_20.jpg},2f4476c6,report msg is :{picture: <*>},['magazine-unlock-06-2.3.445-bigpicture_06_20.jpg']
56,12-18,14:11:34.379,3626,3754,I,LogDatabase,"filterLogList ,thisTypeThreshold = 1073741824 thisTypeSent = 61975 type = LOG_CHR",559a2330,"filterLogList ,thisTypeThreshold = <*> thisTypeSent = <*> type = LOG_CHR","['1073741824', '61975']"
57,12-18,19:53:49.286,3626,3626,I,BetaNotificationManager,type: packing; id: 1002; size: 84613921; notificationLogId: 95349,32fc9767,type: packing; id: <*>; size: <*>; notificationLogId: <*>,"['1002', '84613921', '95349']"
58,12-18,00:04:58.860,800,1015,D,,oem-qmi: Connection accepted,ce4c51b1,oem-qmi: Connection accepted,[]
59,12-18,18:23:48.481,2852,2852,I,HwSignalClusterView,getOrInflateState subId:0,cf07345e,<*> subId:<*>,"['getOrInflateState', '0']"
60,12-18,07:31:06.529,2852,2852,D,NetWorkUtils,mVSimCurCardType is -1,f14ebdce,mVSimCurCardType is -<*>,['1']
61,12-17,19:55:54.603,633,31875,I,SDK     ,<2016-12-17 19:55:54> [NOTICE] SDK: UE-SeC 2016-12-17 19:55:54:602 Level[NOTICE] magic[3359111456 665]:Tracker: start do upload,f0d4584e,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*>,"['', '<2016-12-17 19', '55:54', '[NOTICE]', '', '2016-12-17 19', '55', '54:602 Level[NOTICE]', '3359111456', '665]:Tracker:', 'start do upload']"
62,12-18,18:32:45.622,1795,16498,D,PowerManagerService,"ready=false,policy=0,wakefulness=0,wksummary=0x1,uasummary=0x0,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=33,auto=-1,adj=0.0userId=0",29de50f6,"ready=false,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>","['0', '0', '0x1', '0x0', '33', '1', '0', '0']"
63,12-17,20:34:48.920,3218,3218,I,SendBroadcastPermission,"action:org.codeaurora.VOIP_VOPS_SSAC_STATUS, mPermissionType:0",6b0b29a4,<*> mPermissionType:<*>,"['action:org.codeaurora.VOIP_VOPS_SSAC_STATUS,', '0']"
64,12-18,00:14:31.547,1795,3139,W,MediaProcessHandler,"remove target not exist, maybe the UI process: uid: 10144, pid: 16941",4bc2c833,"remove target not exist, maybe the UI process: uid: <*>, pid: <*>","['10144', '16941']"
