EventId,EventTemplate,Occurrences
ea3cf8e4,<*> suspend blocker <*>,473
7c5af11b,Cannot call determinedVisibility() - never saw a connection for the pid: <*>,311
4ffef652,Report temperature: <*> temp :<*> report_threshold:<*>,58
6b0b29a4,<*> mPermissionType:<*>,993
c68fa020,"acquire lock=<*>, flags=<*>, <*> <*> <*> uid=<*>, pid=<*>",382
33ebadf0,<*> received,130
7133a5f1,TafficState:default sub id = 0slotIndex = <*> subscriptionId = <*>,25
96577245,LoginThread{<*>} <*> Login_By_Step-> Thread is <*> <*>,9
412cb58c,getOrInflateState subId:<*>,759
36225107,"<*> <*>.<*><*>, <*>.<*><*>, <*>.<*><*>, <*>.<*><*>, <*>",242
7fcee125,<*> is <*> is <*>,345
0ba7e9f8,"Warning: ""<*>.tencent.mm<*>.jar"" is not a directory (excluding from path)",1
0faa791c,"rtt=<*>,tcp_tx_pkts=<*>,tcp_rx_pkts=<*>",78
2bd0bdb0,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",1405
c0440256,"PowerManagerNotifier onUserActivity: event=<*>, uid=<*>",180
fb195195,<*> <*> <*> <*> <*>,1107
9aeab320,Model  onReceive user=UserHandle{<*>},19
1c365a21,Resuming ActivityRecord{<*> token=<*>@<*> <*> with <*> onlyLocalRequest=false,11
3f7cf131,framework setLivenessSwitch is ok ---end,4
5c5162a9,WPS: attr type=<*> len=<*>,808
04bbd147,updateTint: tint=<*>,206
8d589afa,begin,247
c45671d8,"onInterceptTouchEvent: MotionEvent { <*> actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }",3
d7497a9b,at <*>,1045
6b2c294d,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*>,230
1118016c,[ACC]processReportInd: X: <*> Y: <*> Z: <*> x_offset:<*>.<*> y_offset:<*>.<*> z_offset:<*>.<*>,106
0abd9468,isDisplayFeatureSupported feature:<*>,9
49908fb9,LISTEN_CELL_LOCATION uid:<*>,14
a8b2cf2b,<*>()<-<*>> : <*>,378
2701f85c,isCurrentBySim()=false,1105
9361d325,"apply hwPhoneState.mSubId:<*> anyMobileVisible:false mIsAirplaneMode:false, mobileGroupVisible=true",404
3dc869d1,"<*> <*> app_type <*>, acdb_dev_id <*>, sample_rate <*>",9
e33b2d0c,"[INFO:CONSOLE(<*>)] ""Uncaught ReferenceError: WebViewJavascriptBridge is not defined"", source:  (<*>)",304
a3a47f5c,ImsSenderRxr : [UNSL]< UNSOL_SSAC_CHANGED <*>$SsacInfo@<*>[SUB0],40
0e83424b,[adevcheck] [handle_vsync_event <*>] input value is null,1
d4b8d889,"presently, hw_update_color_temp_for_rg_led interface not achieved.",427
41d83d71,Client requesting input be <*> <*>,229
96174e4e,main{<*>} PushService.onStartCommand(PushService.java:<*>) Push Service Start by <*>,17
e796b97c,send_cmd_kernel: cmd=<*>,83
c73fd2b0,hw fadein is disabled!,6
214ee144,<*> compensate: cache <*>,253
2f05a91d,"<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>;<*>,<*>,<*>,<*>,<*>",3
bdcf048a,"onUEvent fcpStatus = <*>,scpStatus =<*>,ovpStatus=<*>",177
e6b8d98f,no controller energy info supplied,33
1bf36518,Start proc <*> for <*> <*>,16
ab8bfce1,<*> notification <*> <*> <*>|<*>|<*>|null|<*>,110
055da6b0,formatChinaDateTime equals.,96
345a3ac3,<*> <*> <*> is <*>,63
2cb6c841,######  output <*>,7
18e04965,received cell-signal:<*>,253
d040c7f0,at <*>(Native Method),149
8121af5c,setOverlap <*> mDimmed:false,33
5b22f6cc,Trying to end session,4
a20cc1e2,"sub =<*>,strMccMnc =null,hashMccMnc =[],strPlmn <*>",1116
9917cdb2,"RCV unsolicited event from native daemon, event = <*> IfaceClass idle <*> <*>",41
b29d6ea3,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*> <*> <*>,1589
b4f7e619,showNotificationAll,137
903962f9,msg.recv{<*>} TcpClientThread.onRecv(TcpClientThread.java:<*>) <*> <*> <*>,68
fac33929,KGSvcCall <*>,27
c6bbc222,"proxyWakeLockByPidUid, pid: <*>, uid: <*>, proxy: <*>",30
84db6a37,transitionTo: <*> animate=false,167
dd89ff5c,"[Thermal_Hw] temperature_filter: get invalid temperature, use old temp",146
38d8713c,"<*> <*>, <*> <*>",85
1f8c50db,csr,294
62c38581,"onSignalStrengthsChanged signalStrength=SignalStrength: -<*> <*> -<*> <*> -<*> <*> -<*> <*> <*> <*> -<*> -<*> <*> <*> <*> false gw|lte level=<*> isSuspend=false levelOld=<*>,mSignalStrength level=<*>",162
cd994efe,wlan0: First radio work item in the queue - schedule start immediately,6
06ecb2d7,"DisplayPowerController updatePowerState <*> <*> useProximitySensorbyPhone=true, screenBrightness=<*>, screenAutoBrightnessAdjustment=<*>.<*>, brightnessSetByUser=true, useAutoBrightness=true, blockScreenOn=false, lowPowerMode=false, boostScreenBrightness=false, dozeScreenBrightness=-<*>, dozeScreenState=UNKNOWN, useTwilight=false, useSmartBacklight=true, <*> <*> screenAutoBrightness=-<*>, userId=<*>",72
dede275d,<*> <*>,1327
b38592a8,getSeekBarProgress isAutoMode:true current brightness:<*> <*>,79
f5cd2d89,showSoftInput(),9
e6766bc7,RCV <- {<*> <*> <*> <*> <*> <*>,39
78309a99,"setActionsBackground,null == <*>",31
d95819d7,[HME_JPEG_DEC_Delete](<*>): HME_JPEG_DEC_Delete: decoder_ctx=null,420
6ae083f1,uid:<*> pid:<*> flags:<*> tag:WakerLock:<*> wakeup time:<*>,1
186687fa,setMobileDataIndicatorsHuawei subId:<*> visible:true strengthIcon:<*> typeIcon:<*> <*> <*> <*> <*> <*> <*> isRoaming:false,358
1a995423,db.close()  has closed,4
124c0ec9,wlan0:    skip - disabled,1
f6487d8b,"<*> <*> <*> *, void *, int, int, <*> <*>",37
a5068229,no need to reset return,7
2194d0e6,is charging: false,9
