LineId,Time,Component,Pid,Content,EventId,EventTemplate,ParameterList
1,20171224-2:51:58:561,Step_LSC,30002312,onStandStepChanged 3786,93067dc4,onStandStepChanged <*>,['3786']
2,20171224-6:23:40:96,Step_LSC,30002312,onExtend:1514063436000 0 0 5,3e662616,<*> <*> 0 <*>,"['onExtend:1514063436000', '0 5']"
3,20171229-13:30:44:43,Step_LSC,30002312,onExtend:1514525443000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:1514525443000 1', '4']"
4,20171225-19:10:27:588,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=179944,9300ea38,calculateCaloriesWithCache <*>,['totalCalories=179944']
5,20171224-17:16:8:384,HiH_HiHealthBinder,30002312,insertHiHealthData() end totalTime = 58,034409f5,insertHiHealthData() end totalTime = <*>,['58']
6,20171230-22:22:55:356,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514643660000##7728##1519840##84671##106890##85595299,48038977,setTodayTotalDetailSteps=1514643660000##7728##1519840##84671##106890##85595299,[]
7,20171224-17:4:35:317,Step_FlushableStepDataCache,30002312,"upLoadOneMinuteDataToEngine time=25235092,0,4,0,20002",3996af7c,upLoadOneMinuteDataToEngine <*>,"['time=25235092,0,4,0,20002']"
8,20171224-19:0:10:802,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514113140000##10600##623596##8661##23262##12461362,e0a83abb,getTodayTotalDetailSteps = <*>,[]
9,201812-18:26:54:519,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514888700000##13625##282557##32208##29341##202858244,215886c6,setTodayTotalDetailSteps=1514888700000##13625##282557##32208##29341##202858244,[]
10,201811-20:2:34:458,Step_StandReportReceiver,30002312,REPORT : 5791 4134 129245 30,c26e27c9,REPORT : <*> <*> <*> 30,"['5791', '4134 129245']"
11,201812-23:26:49:562,Step_LSC,30002312,onStandStepChanged 9010,93067dc4,onStandStepChanged <*>,['9010']
12,201812-8:56:43:202,Step_LSC,30002312,onExtend:1514854602000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:1514854602000 1', '4']"
13,20171226-22:2:26:769,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=145817,9300ea38,calculateCaloriesWithCache <*>,['totalCalories=145817']
14,201812-8:17:25:439,Step_FlushableStepDataCache,30002312,InsertEvent success begin:25247534 end:25247536,601c2004,InsertEvent success <*> <*>,['begin:25247534 end:25247536']
15,20171225-22:10:49:322,Step_LSC,30002312,onStandStepChanged 24287,93067dc4,onStandStepChanged <*>,['24287']
16,201812-18:56:7:654,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,252628f5,onReceive action: <*>,['android.intent.action.SCREEN_OFF']
17,201811-20:23:35:150,Step_LSC,30002312,onExtend:1514809414000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:1514809414000 1', '4']"
18,20171231-9:57:13:524,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514685360000##2522##10722##0##1987##127252195,e0a83abb,getTodayTotalDetailSteps = <*>,[]
19,20171230-22:18:55:903,Step_LSC,30002312,onExtend:1514643536000 1 0 4,3e662616,<*> <*> 0 <*>,"['onExtend:1514643536000 1', '4']"
20,201813-9:8:28:216,HiH_HiHealthBinder,30002312,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",514abfb6,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",[]
21,20171229-12:25:27:975,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514521440000##1318##1227637##83501##91877##293332433,e0a83abb,getTodayTotalDetailSteps = <*>,[]
22,20171226-9:12:20:994,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514250660000##1473##962072##77229##62451##22545941,ec770c9d,setTodayTotalDetailSteps=1514250660000##1473##962072##77229##62451##22545941,[]
23,201812-15:52:34:959,Step_StandReportReceiver,30002312,REPORT : 11837 8451 382737 630,ed971e23,REPORT : <*> <*> <*> 630,"['11837', '8451 382737']"
24,20171224-20:31:35:868,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514118600000##12738##709593##8661##33271##17946436,e0a83abb,getTodayTotalDetailSteps = <*>,[]
25,20171229-18:27:58:405,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=87807,9300ea38,calculateCaloriesWithCache <*>,['totalCalories=87807']
26,201811-20:23:33:459,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514809320000##6077##135165##31610##19177##123457126,8e456e6e,setTodayTotalDetailSteps=1514809320000##6077##135165##31610##19177##123457126,[]
27,201812-19:1:17:75,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=437727,9300ea38,calculateCaloriesWithCache <*>,['totalCalories=437727']
