EventId,EventTemplate,Occurrences
93067dc4,onStandStepChanged <*>,634
3e662616,<*> <*> 0 <*>,724
9300ea38,calculateCaloriesWithCache <*>,529
034409f5,insertHiHealthData() end totalTime = <*>,19
48038977,setTodayTotalDetailSteps=1514643660000##7728##1519840##84671##106890##85595299,1
3996af7c,upLoadOneMinuteDataToEngine <*>,41
e0a83abb,getTodayTotalDetailSteps = <*>,556
215886c6,setTodayTotalDetailSteps=1514888700000##13625##282557##32208##29341##202858244,1
c26e27c9,REPORT : <*> <*> <*> 30,23
601c2004,InsertEvent success <*> <*>,14
252628f5,onReceive action: <*>,60
514abfb6,"insertHiHealthData() bulkSaveDetailHiHealthData fail errorCode = 4,errorMessage = ERR_DATA_INSERT",5
ec770c9d,setTodayTotalDetailSteps=1514250660000##1473##962072##77229##62451##22545941,1
ed971e23,REPORT : <*> <*> <*> 630,10
8e456e6e,setTodayTotalDetailSteps=1514809320000##6077##135165##31610##19177##123457126,1
cbcd504a,calculateAltitudeWithCache <*>,556
b0190ab5,processHandleBroadcastAction <*>,181
dc24d800,"saveHealthDetailData() deviceID = 2,clientID=1,id=1",9
f268c67d,setTodayTotalDetailSteps=1514213280000##13192##877915##76964##61450##112599680,1
7177ec6a,"aggregateHiHealthData() time = 1514890501471, totalTime = 21",1
3616b800,clear(),1
c8206319,REPORT : <*> <*> <*> 60,45
bc00f459,uploadStaticsToDB() onResult type = <*> obj=true,5
5fed72bf,getBinderPackageName packageName = com.huawei.health,65
a1e653fe,REPORT : <*> <*> <*> 90,35
a43e73fc,new date <*> <*>,156
9ffb5724,setTodayTotalDetailSteps=1514200560000##7538##822431##45591##57350##99882715,1
46c87663,"insertHiHealthData() size = <*> = 1,One Data Type = <*> = com.huawei.health,writeStatType = 0",15
6c4b6c37,REPORT : <*> <*> <*> 210,24
145b6251,setTodayTotalDetailSteps=1514714220000##9705##49095##31610##10265##28371762,1
f257f214,"initUserPrivacy the userPrivacy switch is open, start push user data!",19
a46f170c,setTodayTotalDetailSteps=1514722440000##10550##70005##31610##10363##36569136,1
a1aa3a25,REPORT : <*> <*> <*> 180,14
3f605027,REPORT : <*> <*> <*> 120,8
d12a3a9a,setTodayTotalDetailSteps=1514521500000##1430##1232278##83501##97577##293403433,1
824b3d7b,"getAppContext() isAppValid health or wear, packageName = com.huawei.health",18
15ba6da4,setTodayTotalDetailSteps=1514458500000##3806##1176909##77229##76569##230386849,1
ecea61b7,setTodayTotalDetailSteps=1514545980000##4066##1337367##83501##100712##317902195,1
821f0ba3,REPORT : <*> <*> <*> 150,27
b26107b2,"startSync hiSyncOption = <*> syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 1 who = 1",12
f341161d,setTodayTotalDetailSteps=1514714340000##9732##49620##31610##10279##28443761,1
2c4eecd0,<*> checkAppType 0 appID = 1,8
34b4a413,setTodayTotalDetailSteps=1514296860000##4654##1029349##77229##64555##68746202,1
c0df8ce6,checkInsertStatus <*> or <*> is enough,36
8244695b,REPORT : <*> <*> <*> 360,12
366e39b5,REPORT : <*> <*> <*> 570,40
93f39b7b,setTodayTotalDetailSteps=1514607240000##1726##1359918##84671##101811##49140827,1
439d8ee9,setTodayTotalDetailSteps=1514284080000##4181##1008175##77229##62451##55995039,1
b45bbf46,setTodayTotalDetailSteps=1514082480000##0##549659##8661##16256##71242161,1
d35b3c81,<*> the <*> is true,33
b8f897f8,flush sensor data,30
16770ac0,setTodayTotalDetailSteps=1514117580000##11844##674133##8661##25953##16942049,1
1e6a7bb9,setTodayTotalDetailSteps=1514543100000##3182##1316234##83501##100712##314999651,1
5867eec5,setTodayTotalDetailSteps=1514521260000##1086##1215635##83501##91877##293128432,1
defbd06c,REPORT : <*> <*> <*> 480,17
8b24b6c8,REPORT : <*> <*> <*> 0,61
5f79ab81,setTodayTotalDetailSteps=1514296920000##4741##1033669##77229##64555##68837720,1
4d4ee941,setTodayTotalDetailSteps=1514631900000##5915##1452798##84671##106890##73823673,1
36434d03,setTodayTotalDetailSteps=1514334480000##106##1074455##77229##71899##106394369,1
ac40d521,setTodayTotalDetailSteps=1514200560000##7552##823719##45591##57350##99890712,1
9b0d93a6,stepSyncOrNot appSynTimes is 0,3
b6e99849,<*> size = <*> = <*>,27
84d20bee,setTodayTotalDetailSteps=1514609160000##2140##1365815##84671##101811##51055762,1
753f15ed,setTodayTotalDetailSteps=1514852640000##3265##210013##31610##27490##166769591,1
05ac96c0,REPORT : <*> <*> <*> 510,28
df5e4b8d,REPORT : <*> <*> <*> 300,16
f5df7a00,<*> success,9
f90c7def,setTodayTotalDetailSteps=1514621460000##4265##1386313##84671##102904##63353986,1
07f96a49,setTodayTotalDetailSteps=1514888700000##13614##282557##32208##29341##202851748,1
5a7e0900,setTodayTotalDetailSteps=1514337060000##1500##1080961##77229##71899##108979477,1
27801432,Alarm uploadStaticsToDB <*>,9
3f9b4da2,ifCanSync not! no cloud version,19
c145f72f,REPORT : <*> <*> <*> 390,7
54a53000,setTodayTotalDetailSteps=1514107020000##7798##571266##8661##16256##6361057,1
2ebd4dc2,"saveStatData() type <*> = <*> = 2,who is 1",24
43c861b3,setTodayTotalDetailSteps=1514117640000##11942##681901##8661##25953##16990213,1
59cdd9cc,setWriteDBLastDataMinute=25236062,1
e8e618ba,setTodayTotalDetailSteps=1514208360000##11108##860397##45591##60995##107725964,1
ff274ca0,flushTempCacheToDB by <*>,18
d2163b42,setTodayTotalDetailSteps=1514507640000##244##1197936##83501##91877##279527463,1
b580d2a5,setTodayTotalDetailSteps=1514210880000##12132##871632##45591##61450##110210797,1
98a48831,setTodayTotalDetailSteps=1514940060000##438##363384##93937##57506##47008579,1
6e805a4c,needAutoSync autoSyncSwitch is open,11
02a28df5,REPORT : <*> <*> <*> 330,11
3b251b90,writeDataToDB size <*>,7
365967a9,REPORT : <*> <*> <*> 240,9
ca975f08,setTodayTotalDetailSteps=1514900520000##15903##345263##36819##29341##7500933,1
7c62ae10,"stepSyncOrNot appSynTimes is 0, statsyncTimes is 0",9
899564de,aggregateHiHealthData() checkAppType  0 appID = 1 id = 1 time= 1514890501471,1
13730df3,setTodayTotalDetailSteps=1514458500000##3779##1176909##77229##76569##230378348,1
4003a57b,setTodayTotalDetailSteps=1514131740000##0##767037##45591##57350##31101547,1
03c259bc,"startInsertSportSync start auto sync,app is 1",13
19bca2fc,setTodayTotalDetailSteps=1514117340000##11362##644159##8661##25953##16700498,1
282d5784,setTodayTotalDetailSteps=1514688660000##4899##31315##31610##8911##2782636,1
aa575643,setTodayTotalDetailSteps=1514722440000##10576##72755##31610##10363##36583134,1
e29516f4,setTodayTotalDetailSteps=1514702040000##7036##38041##31610##10265##16185128,1
7b932227,setTodayTotalDetailSteps=1514643840000##7974##1546047##84671##106890##85726323,1
aafcf1cc,setTodayTotalDetailSteps=1514890800000##14239##307696##32208##29341##204960277,1
812a5a6b,REPORT : <*> <*> <*> 270,13
5c7637ce,timeStamp <*>,11
e4156b58,"initDataPrivacy the dataPrivacy switch is open, start push health data!",18
d7c6d27a,setTodayTotalDetailSteps=1514774340000##244##93255##31610##18631##88460779,1
f034e86a,"startInsertSportSync first 500 steps sync,do all sync",16
6894d12e,setTodayTotalDetailSteps=1514937180000##0##363277##87715##57506##44111910,1
8e523808,closeNotification...,2
7305fbb3,setTodayTotalDetailSteps=1514127060000##16920##767037##45591##57350##26372852,1
ceeead08,setTodayTotalDetailSteps=1514195640000##5441##775802##45591##57350##94965622,1
b3d6ad7f,flush2DB result success,7
caeac8d9,setTodayTotalDetailSteps=1514101080000##5017##566983##8661##16256##446049,1
5bef23d4,setTodayTotalDetailSteps=1514851860000##2177##183581##31610##26503##166003061,1
94b36ea4,REPORT : <*> <*> <*> 660,23
a38e284a,setTodayTotalDetailSteps=1514688420000##4603##20984##31610##8911##2578612,1
14e824c0,setTodayTotalDetailSteps=1514521500000##1439##1232278##83501##98432##293408936,1
dae81ca4,setTodayTotalDetailSteps=1514525400000##2446##1279196##83501##100712##297298628,1
401a43a6,setTodayTotalDetailSteps=1514633760000##6777##1472125##84671##106890##75646928,1
4df44a6f,setTodayTotalDetailSteps=1514508840000##536##1212062##83501##91877##280749023,1
559fc4c5,setTodayTotalDetailSteps=1514117220000##11025##633414##8661##25953##16534064,1
49dff5a3,setTodayTotalDetailSteps=1514525460000##2540##1288181##83501##100712##297353125,1
da439825,setTodayTotalDetailSteps=1514351160000##4074##1083944##77229##72294##123060111,1
35a0d982,setTodayTotalDetailSteps=1514686620000##3896##10722##24674##7650##776617,1
c16e5b32,"initBinder() app = 1, packageName = com.huawei.health",1
bad2447b,InsertCallBack() onSuccess  type = 0 data=true,10
dede275d,<*> <*>,5
ee621039,setTodayTotalDetailSteps=1514549520000##4266##1340087##83501##101048##321416165,1
161ba043,uploadStaticsToDB failed message=true,4
318e33a7,setTodayTotalDetailSteps=1514296920000##4716##1031669##77229##64555##68824216,1
bf8ef81c,setTodayTotalDetailSteps=1514901780000##19254##345263##52459##36557##8713464,1
9a832147,setTodayTotalDetailSteps=1514123400000##14363##725932##31825##33271##22754097,1
00e28b2f,setTodayTotalDetailSteps=1514688660000##4880##30163##31610##8911##2773632,1
4b62603d,setTodayTotalDetailSteps=1514261760000##1974##972502##77229##62451##33635952,1
301884d5,setTodayTotalDetailSteps=1514939700000##331##363384##92086##57506##46666464,1
75638e92,FAILED_SCREEN_OFF block report,6
8764d489,sendSyncFailedBroadcast,15
ec513103,setTodayTotalDetailSteps=1514215080000##13603##885404##76964##61450##114435913,1
9cff7cd5,setTodayTotalDetailSteps=1514722380000##10502##64782##31610##10363##36541638,1
331d5640,setTodayTotalDetailSteps=1514888820000##13800##300197##32208##29341##202958248,1
c5c2e0bd,setTodayTotalDetailSteps=1514852640000##3278##211201##31610##27490##166776604,1
47822d21,setTodayTotalDetailSteps=1514195640000##5474##778282##45591##57350##94982620,1
768399ba,getMidWareStepCountService: isSystemApp = true,1
a7ab62a9,setTodayTotalDetailSteps=1514531040000##2770##1294876##83501##100712##302953965,1
c4f03915,setTodayTotalDetailSteps=1514872680000##7506##242528##32208##28849##186788226,1
1822818d,setTodayTotalDetailSteps=1514339700000##1808##1081117##77229##71899##111617866,1
abe213b1,setTodayTotalDetailSteps=1514123580000##14723##736981##31825##33271##22947625,1
c23906fa,setTodayTotalDetailSteps=1514427480000##1620##1146184##77229##73641##199362840,1
5afa41e8,setTodayTotalDetailSteps=1514117340000##11356##643439##8661##25953##16697501,1
960958ed,startListenerChange subscribeList = [1],13
ec1f4804,setTodayTotalDetailSteps=1514215380000##13953##907248##76964##61450##114692417,1
510e6962,setTodayTotalDetailSteps=1514808060000##5793##120409##31610##19177##122198941,1
1fd6bfa3,setTodayTotalDetailSteps=1514615580000##3769##1381005##84671##101896##57511433,1
08095d7f,setTodayTotalDetailSteps=1514847180000##414##155794##31610##19177##161305135,1
ea662937,setTodayTotalDetailSteps=1514181660000##4467##772580##45591##57350##81009539,1
4ed8ccf9,setTodayTotalDetailSteps=1514852640000##3244##207853##31610##27490##166758591,1
78a5beb8,setTodayTotalDetailSteps=1514215020000##13514##882566##76964##61450##114389889,1
1c7c843a,setTodayTotalDetailSteps=1514294700000##4583##1029349##77229##64555##66600472,1
