LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,ParameterList
1,Jul,5,14:04:25,authorMacBook-Pro,corecaptured,36034,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,[]
2,Jul,4,06:53:43,calvisitor-10-105-162-105,kernel,0,,"PM response took 1999 ms (54, powerd)",c6d1845b,PM response took <*> ms <*> <*>,"['1999', '(54, powerd)']"
3,Jul,7,12:21:33,calvisitor-10-105-162-178,kernel,0,,kern_open_file_for_direct_io took 5 ms,2bd47c8f,<*> took <*> ms,"['kern_open_file_for_direct_io', '5']"
4,Jul,3,16:25:21,authorMacBook-Pro,QQ,10018,,tcp_connection_handle_connect_conditions_bad 21081 failed: 3 - No network route,54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: 3 - No network route,['21081']
5,Jul,5,21:08:02,calvisitor-10-105-160-210,kernel,0,,"hibernate_teardown: wired_pages 571963, free_pages 3551526, active_pages 40000, inactive_pages 0, speculative_pages 0, cleaned_pages 0, compressor_pages 108",eba71aaa,"hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages 0, cleaned_pages 0, compressor_pages <*>","['571963,', '3551526,', '40000,', '0,', '108']"
6,Jul,3,18:06:58,calvisitor-10-105-160-184,kernel,0,,hibernate_page_list_setall(preflight 1) start,3e741421,hibernate_page_list_setall(preflight <*> start,['1)']
7,Jul,4,23:22:09,calvisitor-10-105-162-105,Microsoft Word,14463,,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': '4023' is not a valid type name.,b8893af4,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': '4023' is not a valid type name.,[]
8,Jul,3,15:53:05,calvisitor-10-105-160-237,kernel,0,,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,4b8095ea,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,[]
9,Jul,5,01:33:27,calvisitor-10-105-163-10,kernel,0,,AppleCamIn::wakeEventHandlerThread,016decae,AppleCamIn::wakeEventHandlerThread,[]
10,Jul,2,11:42:54,calvisitor-10-105-163-202,sharingd,30299,,11:42:54.003 : Purged contact hashes,8e73f6c4,<*> : <*> <*> hashes,"['11:42:54.003', 'Purged contact']"
11,Jul,1,14:52:03,calvisitor-10-105-160-95,kernel,0,,"ARPT: 627485.462948: wl0: wl_update_tcpkeep_seq: Original Seq: 2680325872, Ack: 3336801155, Win size: 4096",c24299f2,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,"['627485.462948:', '2680325872,', '3336801155,', '4096']"
12,Jul,2,17:04:28,calvisitor-10-105-163-202,Safari,9852,,KeychainGetICDPStatus: keychain: -25300,7562e40d,KeychainGetICDPStatus: keychain: -25300,[]
13,Jul,6,19:19:46,calvisitor-10-105-162-178,kernel,0,,"Opened file /var/log/SleepWakeStacks.bin, size 172032, extents 1, maxio 2000000 ssd 1",f7ef02dd,Opened file <*> size <*> extents <*> maxio 2000000 ssd 1,"['/var/log/SleepWakeStacks.bin,', '172032,', '1,']"
14,Jul,3,16:27:53,calvisitor-10-105-160-184,com.apple.AddressBook.InternetAccountsBridge,33576,,dnssd_clientstub ConnectToServer: connect()-> No of tries: 3,fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,['3']
15,Jul,5,10:43:51,calvisitor-10-105-160-179,com.apple.xpc.launchd,1,com.apple.xpc.launchd.domain.pid.WebContent.35824,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.SearchHelper.xpc/Contents/MacOS/com.apple.Safari.SearchHelper error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc",b9b132a2,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>","['com.apple.Safari.SearchHelper.xpc', 'com.apple.Safari.SearchHelper', 'com.apple.WebKit.WebContent.xpc']"
16,Jul,5,16:12:51,authorMacBook-Pro,QQ,10018,,tcp_connection_handle_connect_conditions_bad 23180 failed: 3 - No network route,54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: 3 - No network route,['23180']
17,Jul,7,06:19:58,calvisitor-10-105-162-178,kernel,0,,ARPT: 763143.229320: AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,883aa790,ARPT: <*> AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,['763143.229320:']
18,Jul,4,08:07:11,calvisitor-10-105-162-105,kernel,0,,RTC: PowerByCalendarDate setting ignored,c5de5950,RTC: PowerByCalendarDate setting ignored,[]
19,Jul,3,16:42:37,calvisitor-10-105-160-184,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,['1']
20,Jul,2,02:19:03,calvisitor-10-105-163-202,com.apple.AddressBook.InternetAccountsBridge,31953,,dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,['1']
21,Jul,6,15:30:53,calvisitor-10-105-162-178,kernel,0,,ARPT: 740224.428836: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,99b87c94,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,['740224.428836:']
22,Jul,5,02:27:57,calvisitor-10-105-163-10,sandboxd,129,[35749],com.apple.Addres(35749) deny network-outbound /private/var/run/mDNSResponder,19147422,<*> deny network-outbound /private/var/run/mDNSResponder,['com.apple.Addres(35749)']
23,Jul,4,12:06:36,calvisitor-10-105-162-105,sandboxd,129,[34830],com.apple.Addres(34830) deny network-outbound /private/var/run/mDNSResponder,19147422,<*> deny network-outbound /private/var/run/mDNSResponder,['com.apple.Addres(34830)']
24,Jul,4,23:22:09,calvisitor-10-105-162-105,Microsoft Word,14463,,Cocoa scripting error for '0x02b50000': four character codes must be four characters long.,3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,"[""'0x02b50000':""]"
25,Jul,5,17:16:10,authorMacBook-Pro,kernel,0,,"ARPT: 728201.557255: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': 4035,",8640a5a0,"ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>",[]
26,Jul,4,23:22:09,calvisitor-10-105-162-105,Microsoft Word,14463,,.sdef warning for argument '' of command 'reject' in suite 'Microsoft Word Suite': '4025' is not a valid type name.,ebc0a1ae,.sdef warning for <*> <*> of <*> <*> <*> <*> <*> <*> Suite': <*> is not a valid type name.,"[""argument ''"", 'command', ""'reject'"", ""in suite 'Microsoft Word"", ""'4025'""]"
27,Jul,2,19:07:59,calvisitor-10-105-163-202,QQ,10018,,FA||Url||taskID[2019353204] dealloc,a507ad97,<*> dealloc,['FA||Url||taskID[2019353204]']
28,Jul,7,17:24:32,calvisitor-10-105-160-85,Safari,9852,,KeychainGetICDPStatus: status: off,7a123c93,KeychainGetICDPStatus: status: off,[]
29,Jul,6,20:31:40,calvisitor-10-105-162-178,symptomsd,215,,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,[]
30,Jul,5,14:03:45,authorMacBook-Pro,corecaptured,36034,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,[]
31,Jul,7,13:38:23,authorMacBook-Pro,kernel,0,,ARPT: 770673.708274: AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,917783b9,ARPT: <*> AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,['770673.708274:']
32,Jul,5,17:01:12,airbears2-10-142-108-38,kernel,0,,AppleThunderboltNHIType2::prePCIWake - power up complete - took 1 us,04f0e432,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,['1']
