EventId,EventTemplate,Occurrences
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,38
c6d1845b,PM response took <*> ms <*> <*>,53
2bd47c8f,<*> took <*> ms,23
54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: 3 - No network route,77
eba71aaa,"hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages 0, cleaned_pages 0, compressor_pages <*>",5
3e741421,hibernate_page_list_setall(preflight <*> start,8
b8893af4,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': '4023' is not a valid type name.,1
4b8095ea,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,14
016decae,AppleCamIn::wakeEventHandlerThread,102
8e73f6c4,<*> : <*> <*> hashes,9
c24299f2,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: <*>,40
7562e40d,KeychainGetICDPStatus: keychain: -25300,48
f7ef02dd,Opened file <*> size <*> extents <*> maxio 2000000 ssd 1,20
fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,214
b9b132a2,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>",76
883aa790,ARPT: <*> AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,52
c5de5950,RTC: PowerByCalendarDate setting ignored,24
a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,89
99b87c94,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,35
19147422,<*> deny network-outbound /private/var/run/mDNSResponder,89
3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,344
8640a5a0,"ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>",80
ebc0a1ae,.sdef warning for <*> <*> of <*> <*> <*> <*> <*> <*> Suite': <*> is not a valid type name.,5
a507ad97,<*> dealloc,90
7a123c93,KeychainGetICDPStatus: status: off,61
209c69a9,-[NetworkAnalyticsEngine _writeJournalRecord:fromCellFingerprint:key:atLOI:ofKind:lqm:isFaulty:] Hashing of the primary key failed. Dropping the journal record.,59
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,112
917783b9,ARPT: <*> AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,46
04f0e432,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,113
6c762eb7,<*> <*> <*> [lvl=2] -[KSAgentApp checkForUpdates] <*> update check.,4
b55176d9,jemmytest,35
1b7a983d,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,66
c2ec6658,<*> <*> <*> [lvl=2] -[KSAgentUploader fetcher:finishedWithData:] Successfully uploaded stats to <NSMutableURLRequest: <*> { URL: https://<*>/service/update2 },3
bb15d06c,Sandbox: <*> deny(1) <*> <*>,166
13635c18,<*> - <*> = <*>,288
ecd68958,en0: <*> changed to <*>,232
5442533a,<*> <*> <*> [lvl=2] main() Fetcher is exiting.,3
6a6d7984,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,88
305db792,"GVA warning: addNewReferenceEntry_MMCO mmcoFunc1 not found requested 8, curr = 11",1
55561498,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,117
e3d70e64,<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = <*>,33
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,45
7fcc70a2,IOPolledFilePollersOpen(0) <*> ms,5
de1b8e5e,AirPort: Link Up on <*>,63
9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,68
a12012c8,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>",62
94349d5a,sigio_handler: sigio_handler_active != <*>,15
8b905e1d,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*> <*> <*>,31
703d433b,ARPT: <*> wl0: <*> <*> <*> <*>,111
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,49
b4bf6097,<*> : BTLE scanner Powered <*>,41
b8b74f3f,CCFile::copyFile fileName is <*> source <*> dest <*>,100
ca177a76,"polled file major 1, minor 0, blocksize 4096, pollers 5",15
8d0bbd5d,"ARPT: <*> wl0: MDNS: 0 SRV Recs, 0 TXT Recs",46
fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,152
492d7cf0,Configuration Notice:,11
a91f5e42,ARPT: <*> wl0: setup_keepalive: Local port: <*> Remote port: <*>,46
61cb43e6,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",47
b5dd3697,ASL Sender Statistics,50
71a03362,QLStephen: Could not determine attribtues of file file:///private/var/vm/sleepimage,1
e61842f1,ARPT: <*> AirPort_Brcm43xx::powerChange: System Sleep,33
92121a91,IO80211AWDLPeerManager::setAwdlAutoMode Resuming AWDL,34
33b587ef,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: 4096,37
c6c6ddc6,<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),27
d8cfefd6,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,81
98cfb00f,ARPT: <*> ARPT: Wake Reason: Wake on <*> <*>,34
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",48
a0672ef8,"ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval 30, retry_count 10",37
1bf3d457,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",48
df7d7c2a,in6_unlink_ifa: IPv6 address <*> has no prefix,59
8501e33e,ARPT: <*> AQM agg results 0x8001 len hi/lo: 0x0 <*> BAbitmap(0-3) 0 0 0 0,29
3813df52,Location icon should now be in state <*>,121
f09b7e9d,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from <*> to <*>,43
01660cbd,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>,90
f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,92
84296ac1,-[ABAddressBook save] failed. (<ABAddressBook: <*>,4
90685372,<IMMacNotificationCenterManager: <*> <*> <*> <*>,17
8f8ef862,ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled],38
c405e5b2,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: <*> Network is <*>,24
a2f00a21,<*> (Fig) signalled <*>,3
31fcada6,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,44
49a3bab2,Internal name did not resolve to internal address!,4
91ae3b89,ARPT: <*> framerdy 0x0 bmccmd <*> framecnt 1024,42
75353338,Unrecognized attribute value: t:AbchPersonItemType,35
c33b47fd,[HID] [MT] <*> entered,16
37c8aee1,"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",8
b7a2d271,en0::IO80211Interface::postMessage bssid changed,51
34e4e02b,<*> <*> <*> [lvl=2] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: <*>,4
02855caa,"CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, Boolean, Boolean) : Lock timeout",6
