EventId,EventTemplate,Occurrences
56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,555
fea08751,normal,1045
7b83d3f0,warning,1172
92f0ab0d,ambient<*>,1238
04d0d857,Component State Change Component <*> is in the <*> state (HWID<*>),128
9050ee25,Linkerror event interval expired,2002
8d336518,boot (command <*>,282
1517e6c6,Fan speeds ( <*> 3534 <*> **** <*> 3479 ),53
8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,203
551adf73,link errors remain current,303
8cfafe98,configured out,430
b4e25afc,Command has completed successfully,44
28889bc4,wait (command <*>,318
75101dcd,running,699
61326117,blocked,55
eecaca39,ClusterFileSystem There is no server for ServerFileSystem domain <*>,130
641961b9,Link ok,50
c76a5e84,active,25
db5aa7f9,Link in reset,48
4ddd30d6,Targeting domains <*> and nodes <*>,46
ec4e03ec,Link error,82
fdd6a490,Link error on broadcast tree <*> 00 <*>,22
8bfb00b1,inconsistent nodesets node-166 0x000001fe <ok> node-177 0x1fffffffe <ok>,1
6edfd1c7,<*> responding,300
7e85bcb6,critical,107
9cac1bf6,ServerFileSystem ServerFileSystem domain <*> is full,43
da2a0a42,inconsistent nodesets node-224 0x0123bffe <ok> node-255 0x1ffffbffe <ok> node-226 0x0123bffe <ok> node-225 0x0123bffe <ok> node-247 0x11ffbffe <ok>,1
2fb141c5,Fan speeds ( 3552 3552 3391 <*> 3515 3497 ),13
df7b42cd,Temperature <*> exceeds warning threshold,26
1ee85f6c,starting,3
d45c97a6,inconsistent nodesets node-0 0x1fffffffe <ok> node-1 0x0000000e <ok> node-2 0x0000000e <ok>,2
3020731a,Fan speeds ( 3552 3534 <*> <*> 3515 3479 ),417
4445e8e0,risBoot (command <*>,5
a7b6c622,NIFF node <*> detected a failed network connection on network <*> via interface <*>,19
5452c51c,Command has been aborted,3
ffd891af,halt (command <*>,12
78fe0fa3,psu failure\ ambient<*>,14
6adb3a09,ServerFileSystem An ServerFileSystem domain panic has occurred on <*>,3
b1b5b698,inconsistent nodesets node-191 <*> <ok> <*> <*> <*> node-160 0x1fffffffe <ok> node-161 0x1fffffffe <ok>,2
