LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,ParameterList
1,117392,gige6,gige,temperature,1128906415,1,warning,7b83d3f0,warning,[]
2,316510,gige5,gige,temperature,1082807702,1,warning,7b83d3f0,warning,[]
3,261468,node-239,node,status,1079216415,1,not responding,6edfd1c7,<*> responding,['not']
4,74470,Interconnect-1N01,switch_module,error,1077169228,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
5,82142,gige2,gige,temperature,1077334138,1,normal,fea08751,normal,[]
6,155740,gige4,gige,temperature,1113599354,1,normal,fea08751,normal,[]
7,245755,node-173,unix.hw,net.niff.up,1079048421,1,NIFF: node node-173 has detected an available network connection on network 5.5.224.0 via interface alt0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-173', '5.5.224.0', 'alt0']"
8,106845,node-237,node,temperature,1128589380,1,ambient=27,92f0ab0d,ambient<*>,['27']
9,423074,node-24,unix.hw,net.niff.up,1094756535,1,NIFF: node node-24 has detected an available network connection on network 10.128.0.0 via interface ee0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-24', '10.128.0.0', 'ee0']"
10,373714,node-113,action,start,1085979726,1,halt  (command 2991),ffd891af,halt (command <*>,['2991']
11,57641,node-63,node,status,1076864341,1,configured out,8cfafe98,configured out,[]
12,288626,Interconnect-1T00,switch_module,bcast-error,1080690852,1,Link error,ec4e03ec,Link error,[]
13,39610,gige4,gige,temperature,1104637128,1,normal,fea08751,normal,[]
14,444196,node-107,node,temperature,1144265821,1,ambient=33,92f0ab0d,ambient<*>,['33']
15,2560726,full,partition,status,1073286365,1,running,75101dcd,running,[]
16,80869,node-93,node,temperature,1077321431,1,ambient=34,92f0ab0d,ambient<*>,['34']
17,128818,node-69,action,start,1111855744,1,wait  (command 3502),28889bc4,wait (command <*>,['3502']
18,230554,node-30,node,status,1117499438,1,configured out,8cfafe98,configured out,[]
19,244788,Interconnect-1N00,switch_module,error,1079048105,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
20,288090,node-5,action,start,1080641299,1,boot  (command 2721),8d336518,boot (command <*>,['2721']
21,260756,Interconnect-1T01,switch_module,error,1133379720,1,link errors remain current,551adf73,link errors remain current,[]
22,456932,node-92,node,temperature,1100110950,1,ambient=30,92f0ab0d,ambient<*>,['30']
23,416415,Interconnect-1T01,switch_module,error,1093162052,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
24,350982,node-118,unix.hw,state_change.unavailable,1084682031,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3740),04d0d857,Component State Change Component <*> is in the <*> state (HWID<*>),"['\\042alt0\\042', 'unavailable', '3740']"
25,2583604,Interconnect-0N00,switch_module,error,1074228729,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
26,2560008,Interconnect-1N01,switch_module,error,1073155224,1,Link in reset,db5aa7f9,Link in reset,[]
27,203153,node-117,node,status,1078163412,1,running,75101dcd,running,[]
28,147280,node-238,node,temperature,1112688811,1,ambient=30,92f0ab0d,ambient<*>,['30']
29,177752,Interconnect-1N00,switch_module,error,1114546386,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
30,406820,gige7,gige,temperature,1089905903,1,normal,fea08751,normal,[]
31,368163,node-133,node,status,1085359475,1,running,75101dcd,running,[]
32,113460,Interconnect-0N00,switch_module,error,1111072377,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
33,259013,Interconnect-0N00,switch_module,fan,1133173640,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3391', '3479']"
34,65009,Interconnect-0N03,switch_module,error,1076872743,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
35,379448,Interconnect-1T00,switch_module,bcast-error,1141800448,1,Link error on broadcast tree Interconnect-1T00:00:0:0,fdd6a490,Link error on broadcast tree <*> 00 <*>,"['Interconnect-1T', '00:0:0']"
36,163795,Interconnect-0N01,switch_module,error,1114095187,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
37,42015,node-236,node,status,1076539387,1,running,75101dcd,running,[]
38,136390,Interconnect-1N02,switch_module,error,1077808592,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
39,320308,node-237,node,temperature,1139337180,1,ambient=26,92f0ab0d,ambient<*>,['26']
40,314241,gige3,gige,temperature,1137584991,1,normal,fea08751,normal,[]
41,41578,Interconnect-0N00,switch_module,fan,1125930248,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3375', '3479']"
42,68830,node-119,node,status,1108645912,1,not responding,6edfd1c7,<*> responding,['not']
43,177376,Interconnect-0N00,switch_module,error,1114545178,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
44,393449,gige7,gige,temperature,1088374660,1,normal,fea08751,normal,[]
45,107458,node-233,action,start,1128690981,1,member_delete  (command 3866),a34b0514,member_delete (command <*>,['3866']
46,415401,gige7,gige,temperature,1092698105,1,normal,fea08751,normal,[]
47,2579290,node-164,action,start,1074212504,1,member_delete  (command 1919),a34b0514,member_delete (command <*>,['1919']
48,30711,gige7,gige,temperature,1076191856,1,normal,fea08751,normal,[]
49,125213,gige2,gige,temperature,1111545615,1,normal,fea08751,normal,[]
50,425321,gige6,gige,temperature,1143382211,1,warning,7b83d3f0,warning,[]
51,27788,gige5,gige,temperature,1101849610,1,warning,7b83d3f0,warning,[]
52,41737,Interconnect-0N00,switch_module,fan,1125930881,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3375', '3479']"
53,298647,gige3,gige,temperature,1134862636,1,normal,fea08751,normal,[]
54,98595,gige7,gige,temperature,1110466148,1,critical,7e85bcb6,critical,[]
55,2602018,node-209,node,status,1074299123,1,running,75101dcd,running,[]
56,292883,gige7,gige,temperature,1081274358,1,warning,7b83d3f0,warning,[]
57,226378,2526,boot_cmd,success,1078683512,1,Command has completed successfully,b4e25afc,Command has completed successfully,[]
58,297978,node-D2,clusterfilesystem,clusterfilesystem.not_served,1081759433,1,ClusterFileSystem: ServerFileSystem domain root25_tmp is no longer served by node node-88,8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,"['root25_tmp', 'node-88']"
59,128926,node-39,node,status,1111855778,1,active,c76a5e84,active,[]
60,2612292,node-D2,clusterfilesystem,clusterfilesystem.not_served,1074534533,1,ClusterFileSystem: ServerFileSystem domain root3_domain is no longer served by node node-66,8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,"['root3_domain', 'node-66']"
61,401886,node-159,unix.hw,state_change.available,1142553655,1,Component State Change: Component \042alt0\042 is in the available state (HWID=4512),04d0d857,Component State Change Component <*> is in the <*> state (HWID<*>),"['\\042alt0\\042', 'available', '4512']"
62,127760,Interconnect-0N02,switch_module,temphigh,1111832880,1,Temperature (43C) exceeds warning threshold,df7b42cd,Temperature <*> exceeds warning threshold,['(43C)']
63,2562481,Interconnect-1N01,switch_module,error,1073524867,1,Link in reset,db5aa7f9,Link in reset,[]
64,2581387,Interconnect-1N03,switch_module,error,1074217358,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
65,38939,gige7,gige,temperature,1104348170,1,normal,fea08751,normal,[]
66,2557323,Interconnect-1N01,switch_module,error,1072952485,1,Link in reset,db5aa7f9,Link in reset,[]
67,2616068,gige7,gige,temperature,1074945556,1,normal,fea08751,normal,[]
68,257786,Interconnect-0N00,switch_module,fan,1133165851,1,Fan speeds ( 3552 3534 3391 **** 3515 3479 ),9811d692,Fan speeds ( 3552 <*> <*> **** 3515 <*> ),"['3534 3391', '3479']"
69,2607452,node-D0,clusterfilesystem,clusterfilesystem.no_server,1074450072,1,ClusterFileSystem: There is no server for ServerFileSystem domain storage712,eecaca39,ClusterFileSystem There is no server for ServerFileSystem domain <*>,['storage712']
70,373729,node-120,action,start,1085979738,1,halt  (command 2991),ffd891af,halt (command <*>,['2991']
71,373536,node-23,action,error,1085979627,1,halt (command 2988) Error: scrun failed\  couldn\047t send shutdown command,39b78785,halt (command <*> Error scrun failed\ couldn\047t send shutdown command,['2988)']
72,201562,Interconnect-1N01,switch_module,error,1078161786,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
73,372057,node-143,node,status,1141671840,0,configured out,8cfafe98,configured out,[]
74,231470,gige6,gige,temperature,1117713922,1,warning,7b83d3f0,warning,[]
75,102710,Interconnect-1N02,switch_module,error,1077735948,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
