EventId,EventTemplate,Occurrences
66c2744c,CCIOReporterFormatter addRegistryChildToChannelDictionary streams 7,38
5915fdf3,PM response took <*> ms (54 powerd),49
ee92b1b4,kern_open_file_for_direct_io took <*> ms,15
324e9f27,tcp_connection_handle_connect_conditions_bad <*> failed 3 - No network route,77
1101bdb4,hibernate_teardown wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages 0 cleaned_pages 0 compressor_pages <*>,5
3e741421,hibernate_page_list_setall(preflight <*> start,8
1137695c,.sdef warning for <*> <*> of <*> <*> <*> <*> <*> in suite <*> <*> Suite' <*> is not a valid type name.,8
0952590f,en0 Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,38
bb8e78cb,AppleCamIn wakeEventHandlerThread,102
b0ee5e51,<*> 42 <*> Purged contact hashes,2
a6622136,ARPT <*> wl0 <*> <*> Seq <*> Ack <*> Win size 4096,76
e74ce4d4,KeychainGetICDPStatus keychain -25300,48
f7ef02dd,Opened file <*> size <*> extents <*> maxio 2000000 ssd 1,20
db81b272,dnssd_clientstub ConnectToServer connect()-> No of tries <*>,214
031aa8ae,Path not allowed in target domain type pid path /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error 147 The specified service did not ship in the requestor's bundle origin /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>,76
57652ad5,ARPT <*> AirPort_Brcm43xx powerChange System <*>,34
f16d6f35,RTC PowerByCalendarDate setting ignored,24
c910c040,AppleThunderboltGenericHAL earlyWake - complete - took <*> milliseconds,89
b963e0e1,ARPT <*> wl0 leaveModulePoweredForOffloads Wi-Fi will stay on.,35
19147422,<*> deny network-outbound /private/var/run/mDNSResponder,89
3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,344
874503b1,ARPT <*> IOPMPowerSource Information <*> SleepType <*> <*> 'ExternalConnected' No 'TimeRemaining' <*>,47
757a5cf0,FA||Url||taskID[2019353204] dealloc,1
141be128,KeychainGetICDPStatus status off,61
79938720,-[NetworkAnalyticsEngine _writeJournalRecord fromCellFingerprint key atLOI ofKind lqm isFaulty ] Hashing of the primary key failed. Dropping the journal record.,59
5c16703e,CCFile captureLogRun() Exiting CCFile captureLogRun,112
834f698c,ARPT <*> AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,46
22367607,AppleThunderboltNHIType2 prePCIWake - power up complete - took <*> us,113
472fca7d,2017-07-04 15 03 52.927 GoogleSoftwareUpdateAgent[35018/0x7fff79824000] [lvl 2] -[KSAgentApp checkForUpdates] Starting update check.,1
b55176d9,jemmytest,35
6c2b572f,dnssd_clientstub ConnectToServer connect() failed path /var/run/mDNSResponder Socket 4 Err -1 Errno 1 Operation not permitted,66
f5e03d3c,<*> <*> <*> <*> <*> [lvl 2] -[KSAgentUploader fetcher finishedWithData ] Successfully uploaded stats to <NSMutableURLRequest <*> { URL https //<*>/service/update2 },3
74ccb6be,Sandbox <*> deny(1) network-outbound /private/var/run/mDNSResponder,152
71ed56f2,AppleCamIn systemWakeCall - messageType <*>,244
71a3183a,en0 channel changed to <*>,123
4f92bfaa,2017-07-08 06 26 <*> <*> [lvl 2] main() Fetcher is exiting.,2
b7d8cb2d,IO80211AWDLPeerManager setAwdlOperatingMode Setting the AWDL operation mode from SUSPENDED to AUTO,88
0ba459b3,GVA warning addNewReferenceEntry_MMCO mmcoFunc1 not found requested 8 curr 11,1
abca1de8,ARPT <*> wl0 MDNS IPV6 Addr <*> <*> <*> <*> c6b3 1ff fecd 467f,52
8fe35238,<*> <*> <*> <*> | I | VoipWrapper | DAVEngineImpl.cpp 1400 Close | close video chat. llFriendUIN <*>,33
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,45
7fcc70a2,IOPolledFilePollersOpen(0) <*> ms,5
43827e0b,AirPort Link Up on <*>,63
9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,68
6f2d56cf,NETWORK requery 0 0 0 0 <*> items fQueryRetries 0 fLastRetryTimestamp <*>,62
9ad697fb,sigio_handler sigio_handler_active ! <*>,15
623c864d,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*> <*> <*> <*>,31
7e19bd46,ARPT <*> wl0 MDNS IPV4 Addr <*>,39
3a944541,AirPort Link Down on awdl0. Reason 1 (Unspecified).,49
2bfe9c86,13 <*> <*> BTLE scanner Powered On,4
0beffda3,CCFile copyFile fileName is [2017-07-07_13 <*> <*> source path /var/log/CoreCapture/<*>/IO80211AWDLPeerManager//[2017-07-07_13 <*> <*> dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-07_13 <*> <*> AuthFail sts 5_rsn 0/IO80211AWDLPeerManager//[2017-07-07_13 <*>,3
7cc905aa,polled file major 1 minor 0 blocksize 4096 pollers 5,15
e4ce7749,ARPT <*> wl0 MDNS 0 SRV Recs 0 TXT Recs,46
c25cc5f9,IOThunderboltSwitch<0>(0x0) listenerCallback - Thunderbolt HPD packet for route 0x0 port <*> unplug 0,152
9722e0bd,Configuration Notice,11
172b1ab5,ARPT <*> wl0 setup_keepalive Local port <*> Remote port <*>,46
d4385c20,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure Error Domain <*> Code 1035 ""Account identity not set"" UserInfo {NSDescription Account identity not set}",47
b5dd3697,ASL Sender Statistics,50
1e8278a2,QLStephen Could not determine attribtues of file file ///private/var/vm/sleepimage,1
a4767cd8,IO80211AWDLPeerManager setAwdlAutoMode Resuming AWDL,34
b0fdb576,-[SOAPParser <*> parser didStartElement namespaceURI qualifiedName attributes ] Type not found in EWSItemType for ExchangePersonIdGuid (t ExchangePersonIdGuid),27
1c74b0a2,<*> <*> <*> <<<< Boss >>>> figPlaybackBossPrerollCompleted unexpected preroll-complete notification,81
9deb43f7,ARPT <*> ARPT Wake Reason Wake on Scan offload,22
cfb4d076,IO80211AWDLPeerManager setAwdlSuspendedMode() Suspending AWDL enterQuietMode(true),48
3dd7812c,ARPT <*> wl0 setup_keepalive interval <*> retry_interval 30 retry_count 10,37
6cd259ed,USBMSC Identifier (non-unique) 000000000820 0x5ac 0x8406 0x820 3,48
737f318e,in6_unlink_ifa IPv6 address <*> has no prefix,59
5855e579,ARPT <*> AQM agg results 0x8001 len hi/lo 0x0 <*> BAbitmap(0-3) 0 0 0 0,29
42d78019,CCFile copyFile fileName is [2017-07-05_16 24 <*> source path <*> 24 <*> dest path /Library/Logs/CrashReporter/CoreCapture/<*>/[2017-07-05_16 24 <*> <*> sts 5_rsn <*> 24 <*>,2
babfbd65,FA||Url||taskID[2019353546] dealloc,1
3813df52,Location icon should now be in state <*>,121
82949200,en0 BSSID changed to 5c 50 15 <*>,84
ee849cb5,ARPT <*> AirPort_Brcm43xx powerChange System Wake - Full Wake/ Dark Wake / Maintenance wake,51
22f380e7,nw_nat64_post_new_ifstate successfully changed NAT64 ifstate from 0x8000000000000000 to 0x4,43
819a413c,ARPT <*> AirPort_Brcm43xx platformWoWEnable <*>,90
ce70ef54,CCFile captureLogRun Skipping current file Dir file <*> <*> <*> Current File <*>,92
f2b51c2a,-[ABAddressBook save] failed. (<ABAddressBook <*>,4
29bf3ccb,<IMMacNotificationCenterManager <*> DND Enabled <*>,12
