LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,ParameterList
1,Jul,7,19:07:53,authorMacBook-Pro,kernel,0,,en0::IO80211Interface::postMessage bssid changed,4d1c02bf,en0 IO80211Interface postMessage bssid changed,[]
2,Jul,6,14:15:59,authorMacBook-Pro,corecaptured,37027,,"CCFile::captureLog Received Capture notice id: 1499375759.513226, reason = AuthFail:sts:5_rsn:0",41cc71b5,CCFile captureLog <*>,"['Received Capture notice id: 1499375759.513226, reason = AuthFail:sts:5_rsn:0']"
3,Jul,5,14:04:19,authorMacBook-Pro,corecaptured,36034,,"CCFile::captureLogRun Skipping current file Dir file [2017-07-05_14,04,19.355953]-CCIOReporter-026.xml, Current File [2017-07-05_14,04,19.355953]-CCIOReporter-026.xml",ce70ef54,CCFile captureLogRun Skipping current file Dir file <*> <*> <*> Current File <*>,"['', '[2017-07-05_14,04,19.355953]-CCIOReporter-026.xml', '2017-07-05_14,04,19.355953]-CCIOReporter-026.xml']"
4,Jul,2,18:06:47,calvisitor-10-105-163-202,QQ,10018,,2017/07/02 18:06:47.008 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = 535204893.,8fe35238,<*> <*> <*> <*> | I | VoipWrapper | DAVEngineImpl.cpp 1400 Close | close video chat. llFriendUIN <*>,"['', '', '2017/07/02 18:06:47.008', '535204893']"
5,Jul,1,11:51:07,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,43827e0b,AirPort Link Up on <*>,['en0']
6,Jul,1,09:43:33,calvisitor-10-105-160-95,kernel,0,,ARPT: 621636.050702: wl0: MDNS: IPV4 Addr: 10.105.160.95,7e19bd46,ARPT <*> wl0 MDNS IPV4 Addr <*>,"['621636.050702:', '10.105.160.95']"
7,Jul,4,00:22:43,airbears2-10-142-110-255,kernel,0,,Sandbox: com.apple.Addres(34145) deny(1) network-outbound /private/var/run/mDNSResponder,74ccb6be,Sandbox <*> deny(1) network-outbound /private/var/run/mDNSResponder,['com.apple.Addres(34145)']
8,Jul,4,12:34:55,calvisitor-10-105-162-105,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,c25cc5f9,IOThunderboltSwitch<0>(0x0) listenerCallback - Thunderbolt HPD packet for route 0x0 port <*> unplug 0,['= 11']
9,Jul,7,16:05:37,calvisitor-10-105-161-77,kernel,0,,ARPT: 771674.593005: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],819a413c,ARPT <*> AirPort_Brcm43xx platformWoWEnable <*>,"['771674.593005:', 'WWEN[enable']"
10,Jul,6,09:07:00,calvisitor-10-105-163-253,WindowServer,184,,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,f55981fa,send_datagram_available_ping pid 445 failed to act on a ping it dequeued before timing out.,[]
11,Jul,1,23:19:38,calvisitor-10-105-163-202,kernel,0,,"ARPT: 640359.593010: wl0: setup_keepalive: Local port: 52308, Remote port: 443",172b1ab5,ARPT <*> wl0 setup_keepalive Local port <*> Remote port <*>,"['640359.593010:', '52308,', '443']"
12,Jul,5,14:04:33,authorMacBook-Pro,corecaptured,36034,,CCFile::captureLog,41cc71b5,CCFile captureLog <*>,[]
13,Jul,6,12:02:58,authorMacBook-Pro,kernel,0,,ARPT: 739239.970032: wlc_dump_aggfifo:,32a8bd62,ARPT <*> wlc_dump_aggfifo,[]
14,Jul,4,09:01:47,authorMacBook-Pro,kernel,0,,AppleCamIn::handleWakeEvent_gated,5612c34c,AppleCamIn handleWakeEvent_gated,[]
15,Jul,2,18:40:37,calvisitor-10-105-163-202,sandboxd,129,[32655],com.apple.Addres(32655) deny network-outbound /private/var/run/mDNSResponder,19147422,<*> deny network-outbound /private/var/run/mDNSResponder,['com.apple.Addres(32655']
16,Jul,4,10:09:03,authorMacBook-Pro,kernel,0,,en0: 802.11d country code set to 'X3'.,591758ae,en0 802.11d country code set to <*>,['X3']
17,Jul,1,23:32:34,calvisitor-10-105-163-202,kernel,0,,AirPort: Link Up on awdl0,43827e0b,AirPort Link Up on <*>,['awdl0']
18,Jul,6,13:39:08,calvisitor-10-105-162-178,kernel,0,,Wake reason: RTC (Alarm),03bd8bcc,Wake reason <*>,['RTC (Alarm']
19,Jul,3,12:31:17,authorMacBook-Pro,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000320,71ed56f2,AppleCamIn systemWakeCall - messageType <*>,['0xE0000320']
20,Jul,3,17:10:11,calvisitor-10-105-160-184,kernel,0,,"bitmap_size 0x7f0fc, previewSize 0x4028, writing 455779 pages @ 0x97144",725af103,bitmap_size 0x7f0fc previewSize 0x4028 writing 455779 pages @ 0x97144,[]
21,Jul,3,13:38:43,calvisitor-10-105-160-237,com.apple.xpc.launchd,1,com.apple.xpc.launchd.domain.pid.WebContent.33435,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.WebFeedParser.xpc/Contents/MacOS/com.apple.Safari.WebFeedParser error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc",031aa8ae,Path not allowed in target domain type pid path /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error 147 The specified service did not ship in the requestor's bundle origin /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>,"['com.apple.Safari.WebFeedParser.xpc', 'com.apple.Safari.WebFeedParser', 'com.apple.WebKit.WebContent.xpc']"
22,Jul,5,14:04:16,authorMacBook-Pro,corecaptured,36034,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,66c2744c,CCIOReporterFormatter addRegistryChildToChannelDictionary streams 7,[]
23,Jul,5,00:28:39,authorMacBook-Pro,com.apple.WebKit.WebContent,35671,,[00:28:39.799] (Fig) signalled err=-1001,d88565cb,[00 28 39.799] (Fig) signalled err -1001,[]
24,Jul,3,17:10:11,calvisitor-10-105-160-184,kernel,0,,"ARPT: 683262.088863: wl0: wl_update_tcpkeep_seq: Original Seq: 2126531616, Ack: 682450226, Win size: 4096",a6622136,ARPT <*> wl0 <*> <*> Seq <*> Ack <*> Win size 4096,"['683262.088863:', 'wl_update_tcpkeep_seq: Original', '2126531616,', '682450226,']"
25,Jul,1,14:28:27,calvisitor-10-105-160-95,kernel,0,,"en0: channel changed to 132,+1",71a3183a,en0 channel changed to <*>,"['132,+1']"
26,Jul,6,12:02:25,authorMacBook-Pro,netbiosd,36924,,"network_reachability_changed : network is not reachable, netbiosd is shutting down",a2a4d2de,network_reachability_changed network is not reachable netbiosd is shutting down,[]
27,Jul,4,06:03:30,authorMacBook-Pro,kernel,0,,en0: channel changed to 1,71a3183a,en0 channel changed to <*>,['1']
28,Jul,3,18:57:57,authorMacBook-Pro,QQ,10018,,tcp_connection_handle_connect_conditions_bad 21303 failed: 3 - No network route,324e9f27,tcp_connection_handle_connect_conditions_bad <*> failed 3 - No network route,['21303']
29,Jul,2,20:22:06,calvisitor-10-105-163-202,sharingd,30299,,20:22:06.439 : BTLE scanner Powered On,55c2aa89,20 <*> <*> BTLE scanner Powered On,['22:06.439 :']
30,Jul,5,17:15:52,airbears2-10-142-108-38,corecaptured,36224,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,5c16703e,CCFile captureLogRun() Exiting CCFile captureLogRun,[]
31,Jul,8,05:34:37,authorMacBook-Pro,networkd,195,,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,['apsd']
32,Jul,6,12:00:22,calvisitor-10-105-162-178,AddressBookSourceSync,36916,,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/] Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fe2bb671620 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}",e94dc221,"[CardDAVPlugin-ERROR] -getPrincipalInfo [_controller supportsRequestCompressionAtURL https //xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/] Error Domain NSURLErrorDomain Code -1001 ""The request timed out."" UserInfo {NSUnderlyingError 0x7fe2bb671620 {Error Domain kCFErrorDomainCFNetwork Code -1001 ""The request timed out."" UserInfo {NSErrorFailingURLStringKey https //xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/ NSErrorFailingURLKey https //xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/ _kCFStreamErrorCodeKey -2102 _kCFStreamErrorDomainKey 4 NSLocalizedDescription The request timed out.}} NSErrorFailingURLStringKey https //xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/ NSErrorFailingURLKey https //xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/ _kCFStreamErrorDomainKey 4 _kCFStreamErrorCodeKey -2102 NSLocalizedDescription The request timed out.}","['contacts.163.com', 'contacts.163.com', 'contacts.163.com', 'contacts.163.com', 'contacts.163.com']"
33,Jul,7,00:26:37,calvisitor-10-105-162-178,Preview,11512,,Unable to simultaneously satisfy constraints:,40c4381f,Unable to simultaneously satisfy constraints,[]
34,Jul,4,23:39:18,calvisitor-10-105-162-105,WeChat,24144,,jemmytest,b55176d9,jemmytest,[]
35,Jul,8,00:58:14,calvisitor-10-105-160-47,kernel,0,,ARPT: 784388.461503: wl0: wl_update_tcpkeep_seq: mDNSOffloadUserClient::GetKeepaliveData failed,4e3cc12a,ARPT 784388.461503 wl0 wl_update_tcpkeep_seq mDNSOffloadUserClient GetKeepaliveData failed,[]
36,Jul,1,09:12:39,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 0 Memory pressure state: 0,6688d8b1,Thermal pressure state 0 Memory pressure state 0,[]
37,Jul,8,05:52:00,calvisitor-10-105-162-124,BezelServices 255.10,94,,ASSERTION FAILED: dvcAddrRef != ((void *)0) -[DriverServices getDeviceAddress:] line: 2789,be3436d1,ASSERTION FAILED dvcAddrRef ! ((void *)0) -[DriverServices getDeviceAddress ] line 2789,[]
38,Jul,3,15:47:24,calvisitor-10-105-160-237,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,79e3d1d0,IO80211AWDLPeerManager setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,[]
39,Jul,4,09:42:32,calvisitor-10-105-162-105,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,71ed56f2,AppleCamIn systemWakeCall - messageType <*>,['0xE0000340']
