Dataset,size,Parse_time
Spark,5k,3.430229902
Spark,10k,3.555474997
Spark,20k,3.900169134
Spark,40k,4.239040852
Spark,60k,5.418298006
Spark,80k,5.17794776
Spark,100k,5.949169159
HDFS,5k,3.86493206
HDFS,10k,3.762438774
HDFS,20k,4.489984989
HDFS,40k,4.513381243
HDFS,60k,4.885706902
HDFS,80k,4.340152264
HDFS,100k,4.594846964
OpenStack,5k,3.793956995
OpenStack,10k,3.64713192
OpenStack,20k,3.883688927
OpenStack,40k,4.104694128
OpenStack,60k,4.280395985
OpenStack,80k,4.542297125
OpenStack,100k,4.695459127
BGL,5k,3.622893095
BGL,10k,4.225512981
BGL,20k,3.810243845
BGL,40k,3.965610027
BGL,60k,4.368509054
BGL,80k,4.490107298
BGL,100k,4.658677101
HPC,5k,3.260061026
HPC,10k,3.266238213
HPC,20k,3.534267902
HPC,40k,3.518753052
HPC,60k,3.842534781
HPC,80k,4.349638939
HPC,100k,4.735899687
Mac,5k,4.198312283
Mac,10k,4.847157955
Mac,20k,5.398587942
Mac,40k,6.581302166
Mac,60k,7.165992975
Mac,80k,7.519949198
Mac,100k,6.488322735
Android,5k,5.677759409
Android,10k,4.89386797
Android,20k,5.828789949
Android,40k,5.437010288
Android,60k,5.602931976
Android,80k,5.746400118
Android,100k,5.994816065
HealthApp,5k,3.211449862
HealthApp,10k,3.291056156
HealthApp,20k,3.650799751
HealthApp,40k,4.136219978
HealthApp,60k,3.65160203
HealthApp,80k,3.777362823
HealthApp,100k,3.843977928
OpenSSH,5k,3.458024263
OpenSSH,10k,3.991625071
OpenSSH,20k,5.341275215
OpenSSH,40k,7.971127748
OpenSSH,60k,10.68212318
OpenSSH,80k,13.30133462
OpenSSH,100k,15.77346206
