Dataset,size,Parse_time
Spark,5k,3.7543320655822754
Spark,10k,3.761557102203369
Spark,20k,3.993067979812622
Spark,40k,4.450324058532715
Spark,60k,4.874222993850708
Spark,80k,4.96313214302063
Spark,100k,5.5377936363220215
HDFS,5k,3.492033004760742
HDFS,10k,3.372370958328247
HDFS,20k,3.4652328491210938
HDFS,40k,3.68387508392334
HDFS,60k,3.8836629390716553
HDFS,80k,3.98227596282959
HDFS,100k,4.199687957763672
OpenStack,5k,3.5810511112213135
OpenStack,10k,3.648055076599121
OpenStack,20k,3.8231730461120605
OpenStack,40k,3.983856201171875
OpenStack,60k,4.37426495552063
OpenStack,80k,4.558730840682983
OpenStack,100k,4.7820351123809814
BGL,5k,3.605550765991211
BGL,10k,3.654872179031372
BGL,20k,3.9850668907165527
BGL,40k,4.573944091796875
BGL,60k,4.97015380859375
BGL,80k,4.849947929382324
BGL,100k,5.220448970794678
HPC,5k,3.3150217533111572
HPC,10k,3.3577771186828613
HPC,20k,3.490875720977783
HPC,40k,3.686084747314453
HPC,60k,3.965057849884033
HPC,80k,4.111217975616455
HPC,100k,4.935710906982422
Mac,5k,4.756223201751709
Mac,10k,4.289856910705566
Mac,20k,5.367070198059082
Mac,40k,6.814116954803467
Mac,60k,6.332363128662109
Mac,80k,7.643985033035278
Mac,100k,6.366553068161011
Android,5k,4.896292209625244
Android,10k,5.221123933792114
Android,20k,5.146293878555298
Android,40k,5.2727320194244385
Android,60k,5.728295803070068
Android,80k,6.0038230419158936
Android,100k,6.187753915786743
HealthApp,5k,3.553997039794922
HealthApp,10k,3.431824207305908
HealthApp,20k,3.5576019287109375
HealthApp,40k,3.651232957839966
HealthApp,60k,3.811312198638916
HealthApp,80k,3.8898749351501465
HealthApp,100k,4.014932870864868
OpenSSH,5k,3.619342088699341
OpenSSH,10k,3.7930331230163574
OpenSSH,20k,3.7634918689727783
OpenSSH,40k,4.670262098312378
OpenSSH,60k,7.22776198387146
OpenSSH,80k,5.277872800827026
OpenSSH,100k,4.662349700927734
