Dataset,size,Parse_time
Android,5k,10.55222201347351
Android,10k,13.183371782302856
Android,20k,17.032428979873657
Android,40k,18.34798002243042
Android,60k,28.486314058303833
Android,80k,39.218971967697144
Android,100k,50.10771584510803
HealthApp,5k,10.134706020355225
HealthApp,10k,10.711996793746948
HealthApp,20k,15.314218997955322
HealthApp,40k,38.866862058639526
HealthApp,60k,79.22359299659729
HealthApp,80k,66.10181593894958
HealthApp,100k,99.67043995857239
OpenSSH,5k,3.219478130340576
OpenSSH,10k,3.741683006286621
OpenSSH,20k,5.085455894470215
OpenSSH,40k,8.770600318908691
OpenSSH,60k,13.240034103393555
OpenSSH,80k,19.60001015663147
OpenSSH,100k,28.237390756607056
