Dataset,size,Parse_time
Spark,5k,4.060867071151733
Spark,10k,4.613890171051025
Spark,20k,6.190497875213623
Spark,40k,9.313141107559204
Spark,60k,13.122724771499634
Spark,80k,15.434645891189575
Spark,100k,18.374781131744385
HDFS,5k,4.03063702583313
HDFS,10k,4.822629928588867
HDFS,20k,6.077211856842041
HDFS,40k,8.35235595703125
HDFS,60k,11.565120935440063
HDFS,80k,13.370590925216675
HDFS,100k,16.54218316078186
OpenStack,5k,4.303645849227905
OpenStack,10k,5.321993827819824
OpenStack,20k,6.47041392326355
OpenStack,40k,10.023085117340088
OpenStack,60k,13.62152910232544
OpenStack,80k,498.6078450679779
OpenStack,100k,24.26237988471985
BGL,5k,4.402888774871826
BGL,10k,4.890966176986694
BGL,20k,6.240777015686035
BGL,40k,8.238379001617432
BGL,60k,10.294100284576416
BGL,80k,12.454047918319702
BGL,100k,14.948487997055054
HPC,5k,3.589339017868042
HPC,10k,3.9259419441223145
HPC,20k,5.036970853805542
HPC,40k,6.912424802780151
HPC,60k,9.159993171691895
HPC,80k,11.030502080917358
HPC,100k,13.107817888259888
Mac,5k,472.96348214149475
Mac,10k,56.23944401741028
Mac,20k,165.89565205574036
