Dataset,size,Parse_time
Spark,5k,6.365847110748291
Spark,10k,11.059283971786499
Spark,20k,26.630891799926758
Spark,40k,64.87519121170044
Spark,60k,109.01199412345886
Spark,80k,163.73319292068481
Spark,100k,203.2520341873169
HDFS,5k,5.650467872619629
HDFS,10k,7.6148059368133545
HDFS,20k,12.21296215057373
HDFS,40k,21.393360137939453
HDFS,60k,30.67150378227234
HDFS,80k,39.78127408027649
HDFS,100k,46.483224630355835
OpenStack,5k,20.248692989349365
OpenStack,10k,41.395589113235474
OpenStack,20k,81.23773002624512
OpenStack,40k,140.56507205963135
OpenStack,60k,223.33311891555786
OpenStack,80k,340.1245787143707
OpenStack,100k,415.5119979381561
BGL,5k,24.76402711868286
BGL,10k,52.69058704376221
BGL,20k,132.9413812160492
BGL,40k,305.9246668815613
BGL,60k,493.70882272720337
BGL,80k,766.5260860919952
